Institution_ID,Institution_Name,Institution_Address,Institution_City,Institution_State,Institution_Zip,Institution_Phone,Institution_OPEID,Institution_IPEDS_UnitID,Institution_Web_Address,Campus_ID,Campus_Name,Campus_Address,Campus_City,Campus_State,Campus_Zip,Campus_IPEDS_UnitID,Accreditation_Type,Agency_Name,Agency_Status,Program_Name,Accreditation_Status,Accreditation_Date_Type,Periods,Last_Action
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Dental Association, Commission on Dental Accreditation",,Pediatric Dentistry,Accredited,Actual,12/09/1966 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Dental Association, Commission on Dental Accreditation",,Periodontics,Accredited,Actual,12/09/1966 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Dental Association, Commission on Dental Accreditation",,Prosthodontics (including maxillofacial prosthetics and combined prosthodontics/maxillofacial prosthetics),Accredited,Actual,12/09/1966 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Occupational Therapy Association, Accreditation Council for Occupational Therapy Education",,Occupational Therapy (OT) - Professional Programs (School of Health Professions),Accredited,Actual,01/01/1970 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Optometric Association, Accreditation Council on Optometric Education",,Optometry (OPT) - Professional degree programs,Accredited,Actual,04/15/1973 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Physical Therapy Association, Commission on Accreditation in Physical Therapy Education",,Physical Therapy (PT) - Professional programs for the physical therapist,Accredited,Actual,05/01/1967 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"American Psychological Association, Commission on Accreditation",,Clinical Psychology (CLPSY) - PhD Doctoral programs,Accredited,Actual,03/20/1985 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Internship/Residency,"American Psychological Association, Commission on Accreditation",,Professional Psychology (IPSY) - Predoctoral internship programs (University of Alabama at Birmingham Internship Training Consortium),Accredited,Actual,10/01/1969 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Commission on Accreditation of Healthcare Management Education,,Health Services Administration (HSA) - Graduate programs in health services administration,Accredited,Actual,07/01/1968 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the baccalaureate degree levels,Accredited,Actual,03/03/2000 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the graduate degree levels,Accredited,Actual,03/03/2000 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Commission on English Language Program Accreditation,,English Language,Accredited,Estimated,11/13/2013 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Council on Accreditation of Nurse Anesthesia Educational Programs,,"Nurse Anesthesia (ANEST) - Institutions and programs at the master's degree,  post master's certificate or doctoral degree levels",Accredited,Actual,07/10/1981 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Council on Education for Public Health,,Public Health (PHG) - Graduate level school of public health,Accredited,Actual,10/17/1978 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Joint Review Committee on Education in Radiologic Technology,,Radiologic Technology (RAD) - Programs for radiographers,Accredited,Actual,01/01/1975 - 12/31/2009,Resigned
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Joint Review Committee on Education in Radiologic Technology,,Radiologic Technology (RADTT) - Programs for radiation therapists,Accredited,Actual,07/01/1990 - 12/31/2011,Resigned
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Joint Review Committee on Educational Programs in Nuclear Medicine Technology,No Longer Recognized,Nuclear Medicine Technologist (NMT) - Programs for the nuclear medicine technologist,Accredited,Actual,06/27/1973 - 06/13/2011,No Longer Recognized
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,Liaison Committee on Medical Education,,Medicine (MED) - Programs leading to the M.D. degree (School of Medicine),Accredited,Actual,07/01/1946 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"National Association of Schools of Art and Design, Commission on Accreditation",,Art and Design (ART) - Degree-granting schools and departments and non-degree-granting programs,Accredited,Estimated,09/01/1992 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"National Association of Schools of Music, Commission on Accreditation",,Music (MUS) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,09/01/1991 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,"National Association of Schools of Theatre, Commission on Accreditation",,Theatre (THEA) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,07/01/2009 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Specialized,National Council for Accreditation of Teacher Education,,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools,Accredited,Actual,01/01/1973 - Current,
100034,University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,AL,"""35233""",205-934-4011,"""00105200""",100663,www.uab.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/1970 - Current,
100043,Amridge University,1200 Taylor Rd,Montgomery,AL,"""36117-3553""",334-387-3877-100,"""02503400""",100690,www.amridgeuniversity.edu,,,,,,,,Specialized,Commission on Accrediting of the Association of Theological Schools,,"Theology (THEOL) - Freestanding schools, as well as programs affiliated with larger institutions, offering graduate professional education for ministry and graduate study of theology",Pre-Accredited,Estimated,06/01/2012 - Current,
100043,Amridge University,1200 Taylor Rd,Montgomery,AL,"""36117-3553""",334-387-3877-100,"""02503400""",100690,www.amridgeuniversity.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,01/01/1989 - Current,
100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899""",256-824-6120,"""00105500""",100706,www.uah.edu,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the baccalaureate degree levels,Accredited,Actual,03/03/2000 - Current,
100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899""",256-824-6120,"""00105500""",100706,www.uah.edu,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the graduate degree levels,Accredited,Actual,03/03/2000 - Current,
100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899""",256-824-6120,"""00105500""",100706,www.uah.edu,,,,,,,,Specialized,"National Association of Schools of Art and Design, Commission on Accreditation",,Art and Design (ART) - Degree-granting schools and departments and non-degree-granting programs,Accredited,Estimated,07/01/2006 - Current,
100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899""",256-824-6120,"""00105500""",100706,www.uah.edu,,,,,,,,Specialized,"National Association of Schools of Music, Commission on Accreditation",,Music (MUS) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,09/01/1988 - Current,
100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899""",256-824-6120,"""00105500""",100706,www.uah.edu,,,,,,,,Specialized,National Council for Accreditation of Teacher Education,,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools,Accredited,Actual,03/30/2006 - Current,
100052,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,"""35899""",256-824-6120,"""00105500""",100706,www.uah.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/1970 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Specialized,"American Occupational Therapy Association, Accreditation Council for Occupational Therapy Education",,Occupational Therapy (OT) - Professional Programs,Accredited,Actual,03/01/2000 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Specialized,"American Physical Therapy Association, Commission on Accreditation in Physical Therapy Education",,Physical Therapy (PT) - Professional programs for the physical therapist,Accredited,Actual,04/24/2002 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Specialized,"National Association of Schools of Art and Design, Commission on Accreditation",,Art and Design (ART) - Degree-granting schools and departments and non-degree-granting programs,Accredited,Actual,04/01/2013 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Specialized,"National Association of Schools of Music, Commission on Accreditation",,Music (MUS) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,09/01/1972 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Specialized,"National Association of Schools of Theatre, Commission on Accreditation",,Theatre (THEA) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,01/01/2010 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Specialized,National Council for Accreditation of Teacher Education,,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools,Accredited,Actual,01/01/1973 - Current,
100061,Alabama State University,915 S Jackson Street,Montgomery,AL,"""36104""",334-229-4400,"""00100500""",100724,www.alasu.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,01/01/1966 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",,Didactic Program in Dietetics,Accredited,Actual,12/01/1970 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",,Dietetics (DIET) - Coordinated Program in Dietetics,Accredited,Actual,01/01/1972 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"American Bar Association, Council of the Section of Legal Education and Admissions to the Bar",,Law (LAW) - Professional schools,Accredited,Estimated,07/01/1926 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"American Psychological Association, Commission on Accreditation",,Clinical Psychology (CLPSY) - PhD Doctoral programs,Accredited,Actual,02/01/1959 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"American Speech-Language-Hearing Association, Council on Academic Accreditation in Audiology and Speech-Language Pathology",,Audiology (AUD) - Graduate degree programs,Accredited,Actual,10/10/1969 - 06/01/2002,Resigned
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"American Speech-Language-Hearing Association, Council on Academic Accreditation in Audiology and Speech-Language Pathology",,Speech-Language Pathology (SLP) - Graduate degree programs,Accredited,Actual,10/10/1969 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the baccalaureate degree levels,Accredited,Actual,04/21/2001 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the graduate degree levels,Accredited,Actual,04/21/2001 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,Commission on English Language Program Accreditation,,English Language,Accredited,Actual,09/01/2002 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"National Association of Schools of Art and Design, Commission on Accreditation",,Art and Design (ART) - Degree-granting schools and departments and non-degree-granting programs,Accredited,Estimated,09/01/1990 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"National Association of Schools of Dance, Commission on Accreditation",,Dance (DANCE) - Institutions and units within institutions offering degree-granting and non-degree-granting programs,Accredited,Estimated,09/01/2003 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"National Association of Schools of Music, Commission on Accreditation",,Music (MUS) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,09/01/1945 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,"National Association of Schools of Theatre, Commission on Accreditation",,Theatre (THEA) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs,Accredited,Estimated,09/01/1986 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Specialized,National Council for Accreditation of Teacher Education,,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools,Accredited,Actual,01/01/1954 - Current,
100089,The University of Alabama,739 University Boulevard,Tuscaloosa,AL,"""35487-0100""",205-348-6010,"""00105100""",100751,www.ua.edu/,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,01/01/1897 - Current,
100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,"""35010""",256-234-6346,"""00100700""",100760,www.cacc.edu,3,Childersburg Campus,34091 US Hwy. 280,Childersburg,AL,"""35044""",,Specialized,"Accreditation Commission for Education in Nursing, Inc. ? May 6, 2013  Formerly: National League for Nursing Accrediting Commission",,Nursing (ADNUR) - Associate degree programs,Accredited,Estimated,08/01/1997 - Current,
100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,"""35010""",256-234-6346,"""00100700""",100760,www.cacc.edu,3,Childersburg Campus,34091 US Hwy. 280,Childersburg,AL,"""35044""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/1966 - Current,
100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,"""35010""",256-234-6346,"""00100700""",100760,www.cacc.edu,4,Alexander City Campus,1675 Cherokee Road PO Box 699,Alexander City,AL,"""35010""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/1966 - Current,
100098,Central Alabama Community College,1675 Cherokee Road,Alexander City,AL,"""35010""",256-234-6346,"""00100700""",100760,www.cacc.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,01/01/1969 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,2,Northeast Alabama CC,138 Lowell Barron Highway W,Rainsville,AL,"""35986""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/2004 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,3,Northwest - Shoals Alabama CC,800 George Wallace Road,Muscle Shoals,AL,"""35662""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/2004 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,4,Redstone Arsenal,"Bldg. 3200, Little John Road Athens State Universi",Redstone Arsenal,AL,"""35898""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/1976 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,5,Snead State CC,220 North Walnut Street,Boaz,AL,"""35957""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/2004 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,6,Wallace State Comm Coll - Hanceville,801 Main Street,Hanceville,AL,"""35077""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,08/28/2012 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,,,,,,,,Specialized,National Council for Accreditation of Teacher Education,,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools,Accredited,Actual,09/01/1997 - Current,
100104,Athens State University,300 N Beaty St,Athens,AL,"""35611""",256-233-8100,"""00100800""",100812,www.athens.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Actual,01/01/1955 - Current,
100113,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,"""36117-3596""",334-244-3000,"""00831000""",100830,www.aum.edu,,,,,,,,Specialized,Commission on Collegiate Nursing Education,,Nursing (CNURED) - Nursing education programs at the baccalaureate degree levels,Accredited,Actual,04/28/1998 - Current,
100113,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,"""36117-3596""",334-244-3000,"""00831000""",100830,www.aum.edu,,,,,,,,Specialized,National Council for Accreditation of Teacher Education,,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools,Accredited,Actual,01/01/1983 - Current,
100113,Auburn University-Montgomery,7440 East Drive P.O. Box 244023,Montgomery,AL,"""36117-3596""",334-244-3000,"""00831000""",100830,www.aum.edu,,,,,,,,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/1968 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,2,Mobile Campus (Pharmacy),"USA Rsch Park 650 Clinic Drive, Rm 2100",Mobile,AL,"""36688-0002""",,Institutional,"Southern Association of Colleges and Schools, Commission on Colleges",,,Accredited,Estimated,07/01/2007 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"Academy of Nutrition and Dietetics, Accreditation Council for Education in Nutrition and Dietetics",,Didactic Program in Dietetics,Accredited,Actual,03/01/1971 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"Accreditation Commission for Education in Nursing, Inc. ? May 6, 2013  Formerly: National League for Nursing Accrediting Commission",,Nursing (NUR) - Baccalaureate program,Accredited,Estimated,12/01/1981 - 12/31/2006,Resigned
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"Accreditation Commission for Education in Nursing, Inc. ? May 6, 2013  Formerly: National League for Nursing Accrediting Commission",,Nursing (NUR) - Baccalaureate program,Accredited,Estimated,12/01/1981 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,Accreditation Council for Pharmacy Education,,Pharmacy (PHAR) - Professional degree programs,Accredited,Actual,07/24/1939 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"American Association for Marriage and Family Therapy, Commission on Accreditation for Marriage and Family Therapy Education",No Longer Recognized,"Marriage and Family Therapy (MFT) - Clinical training programs at the master's, doctoral, and postgraduate levels",Accredited,Actual,01/31/2006 - 04/15/2013,No Longer Recognized
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"American Psychological Association, Commission on Accreditation",,Clinical Psychology (CLPSY) - PhD Doctoral programs,Accredited,Actual,11/17/1976 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"American Psychological Association, Commission on Accreditation",,Counseling Psychology (COPSY) - PhD Doctoral programs,Accredited,Actual,05/06/1988 - Current,
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"American Speech-Language-Hearing Association, Council on Academic Accreditation in Audiology and Speech-Language Pathology",,Audiology (AUD) - Graduate degree programs,Accredited,Actual,12/28/1971 - 01/01/2003,Resigned
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"American Speech-Language-Hearing Association, Council on Academic Accreditation in Audiology and Speech-Language Pathology",,Clinical doctoral program in Audiology,Accredited,Actual,01/01/2002 - Current,Probation
100122,Auburn University Main Campus,,Auburn University,AL,"""36849""",334-844-4000,"""00100900""",100858,www.auburn.edu,,,,,,,,Specialized,"American Speech-Language-Hearing Association, Council on Academic Accreditation in Audiology and Speech-Language Pathology",,Speech-Language Pathology (SLP) - Graduate degree programs,Accredited,Actual,06/25/1965 - Current,
